Title,Company,Location,Summary,Date_Posted,Easily_Apply?,URL
Lead Full-Stack Developer  Software Architect,Equisolve,remote,  Accomplished in Ruby on Rails and a solid understanding of modern javascript frameworks; should be able to write and review code in both languages.,30+ days ago,true,https://www.indeed.com/viewjob?jk=9ebff16ebac227a1&fccid=bf2b7648b14ad8b9&vjs=3
QA Engineer,Food52,remote,  Perform tests in close collaboration with Product Managers to align on readiness and prioritization. Perform manual feature and regression testing on Food52.com…,30+ days ago,false,https://www.indeed.com/viewjob?jk=d1c15d09e4e6b203&fccid=fb1a5b18740bdea2&vjs=3
Engineer  Full Stack,Genius Media Group,remote,  Join on-call rotation to respond to urgent bugs or outages. The best candidates will have professional experience on a web stack serving millions of users  will…,30+ days ago,false,https://www.indeed.com/viewjob?jk=3884772194b155bf&fccid=bb9bca61005b75cb&vjs=3
Lead Cloud and SRE Engineer,Bold Penguin,remote,  Proficiency in several different programming languages (Ruby on Rails  Javascript). Spend a good deal of time on software development (the “dev” part of DevOps!…,30+ days ago,false,https://www.indeed.com/viewjob?jk=5e39725d37979dd0&fccid=7312646c6aa4b1ee&vjs=3
Full Stack Engineer,Vesta Home,remote,  Our current stack is Ruby on Rails  PostgreSQL  Heroku  AWS and iOS. Deep familiarity with Ruby on Rails  Heroku  AWS  version control  and iOS.,30+ days ago,true,https://www.indeed.com/viewjob?jk=1cc0feb4fced5de2&fccid=37f17edee1e649f0&vjs=3
Ruby on Rails Developer,TurboSquid,remote,  Some projects you may be working on: Advanced knowledge and experience in Ruby on Rails. TurboSquid is looking for a Full Stack Ruby on Rails Developer.,30+ days ago,false,https://www.indeed.com/viewjob?jk=f20fcef68a0ea720&fccid=3f740654c4e85d6d&vjs=3
Full-Stack Software Engineer Intern,VALUENEX Inc.,remote,  Work with data scientists to implement algorithms and prototypes on the front-end. Experience with Ruby  Ruby on Rails  JavaScript build tools  and modern…,30+ days ago,true,https://www.indeed.com/company/VALUENEX-Inc./jobs/Full-Stack-Software-Engineer-Intern-ad3ffd74769fc107?fccid=d41f8648e2316271&vjs=3
Ruby on Rails Engineer,Aha Labs Inc.,remote,  Working proactively with product and UX to refine and iterate on specifications as the feature takes shape. We are centered around North American time zones so…,30+ days ago,false,https://www.indeed.com/viewjob?jk=ba9cc1a39be7412e&fccid=310832c01f500556&vjs=3
Lead Ruby on Rails Engineer,Aha Labs Inc.,remote,  Working proactively with product and UX to refine and iterate on specifications as the feature takes shape. We are centered around North American time zones so…,30+ days ago,false,https://www.indeed.com/viewjob?jk=c9b3f3838117b02f&fccid=310832c01f500556&vjs=3
Programmer 2,University of Miami,remote,  We collaborate closely with people across all library departments from our home on the third floor of the Richter Library on the Coral Gables campus.,30+ days ago,false,https://www.indeed.com/viewjob?jk=522c27639f57f85e&fccid=ec40e650131b4ee3&vjs=3
Bilingual Full Stack Engineer - Remote,Assurant,remote,  NET/C# or Ruby on Rails. Hands-on knowledge of version control systems such as Git. A continuous learning mindset that keeps you current on development best…,30+ days ago,false,https://www.indeed.com/viewjob?jk=c0c7585de15576f3&fccid=cc80d5313758adb1&vjs=3
Ruby on Rails Software Developer - Remote,Simplex,remote,  Ruby on Rails (If you currently work with other languages like Python  Java  etc that would be perfect). Are interested in working in a small  well funded and…,30+ days ago,true,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AKXGaiplK0NhmDwG5amTlm5UJ1uyQpTiT6b7Yfiq_d5IZF27rf16l0c-ZVOAEiLpPCaWLZ40O5CCqbnTQxo4pVN7DCs8NFGjocjhOUMRYZLv3rdClP3-nsyVw4NcB6k6RsxvijiRgg3M6o9PF-rorEsCyYdcSRFrlBQQjrHPU0Fss6OR05VqccFF42YJ60R5HMJG0RZIrG0d4q2mCRFAj71WhGquJQoohA7AwK8KWdLLT9lISv5UpjC-KsqEP6IjGH_wesxuGHJbpL13JBlPf0u1CeSvwBn0VFqJtn8Km3SnaiHpBy38ar4fQmL9ckMEGeKNR9DdUEzpl3plLJ2IpGwlWhC3szPiho5Uc-0m577Kdf6qt94UdcfXszrA-jnyQNgk756ArGw4fpp-2-PWfgZZuO6gFPoZc=&p=11&fvj=0&vjs=3
Ruby on Rails Software Architect - Remote,Simplex,remote,  Work directly on our consumer facing and enterprise products  testing and iterating on improvements that drive value.,30+ days ago,true,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AKXGaiplK0NhmDwG5amTlm5UJ1uyQpTiT6b7Yfiq_d5IZF27rf16l0c-ZVOAEiLpPCaWLZ40O5CBuI5_Urbhi0THNkcqkE-dxbpZJ82j7Dds_zD9elGiUphamBa3BqQLrC-7xnYKi3WcGBETNLQxbW1MXUW2M_nPBfFnx7eIpDDpqPjErhog3bbcc1E752-rgQaHh81W635C8rKsLHdq0Eb4ad7du3mrhhmzLdk44D1ynOyY5iNFrqAWcIRZhNgSIoiNdCgD2Nc9ereU6FeP75s39aYSOI4KhxVQf6ts19tCkiASSjcsukaksmR4b647Xg-H957mFkob7YuSXU5LFOFCSgDRiuzePIpHpppxuVJ03yXyzuQYllSD69YD1vmagIOIq575-I3QQ65LCBWd7Amqoj0F42dI0=&p=12&fvj=0&vjs=3
Full Stack Software Engineer - Remote (Ruby on Rails / React...,Simplex,remote,  Ruby on Rails (If you currently work with other languages like Python  Java  etc that would be perfect). Want to build user facing products that will transform…,30+ days ago,true,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AKXGaiplK0NhmDwG5amTlm5UJ1uyQpTiT6b7Yfiq_d5IZF27rf16l0c-ZVOAEiLpPCaWLZ40O5CLOHUvIttO2W4bapdh-vo7XJompeWJd-w7TngV_LE6QEip0OGjhVyr_ERLds_fGjc7aluV1tZgVAuc90v1Tm2Thsbxux2FQbPQUvOFgld2TAEbmyTaGCThYzsRVyXRdnOq1FmSNG9G2wiil0RR6rIoBp1h8sjiQ-sCz052ZdcevX_Ekeg4N5CmJCvOzQufsQAdPijRaA8AvzQ9pYiNwFBuNTnj0Rn-Y_yuNclRGzKoeTba1ockeEOjlTqsHXgnWHKMRqxR-RsZr-_bVPDfai2Bbd3AcQ2WZ-vP9bPpE5tppdAWDC7HDq3Cx_MARLHL-4BfwfZ7sL-fe1ROudHosNGG4=&p=13&fvj=0&vjs=3
Ruby on Rails developer (Remote - Non visa),Ness USA Inc,remote,  Ruby on rails: 5 years (Required). 5+ years of Ruby on Rails experience. Work with our amazing Quality Engineers as needed on automated testing.,30+ days ago,true,https://www.indeed.com/company/Ness-USA-Inc/jobs/Ruby-Rail-Developer-458d16d0c2d2d907?fccid=e775983eb6c4a9a7&vjs=3
Engineer I,Food52,remote,  Work on assigned tickets to build out new features or fix existing bugs. Experience with Ruby on Rails or a comparable back-end framework.,30+ days ago,false,https://www.indeed.com/viewjob?jk=14197e6f6526f4ff&fccid=fb1a5b18740bdea2&vjs=3
Software Engineer (Entry to Senior Levels),CAE Inc.,remote,  Experience writing Ruby on Rails. Report status on tasks and assignments. Software engineers will focus on web development using JavaScript and framework…,30+ days ago,false,https://www.indeed.com/viewjob?jk=ed9add23bb08a412&fccid=b839f9af280b111f&vjs=3
Ruby on Rails Developer,Hire Digital,remote,  Experience working with Ruby on Rails as well as libraries like Resque and RSpec. As Ruby on Rails developer  you should have extensive experience working with…,30+ days ago,true,https://www.indeed.com/viewjob?jk=8a9d1989c3f55781&fccid=bc4b5105d60ad222&vjs=3
Front End Engineer,Sensor Tower,remote,  A portfolio of live contributions on the web (e.g. GitHub or Stack Overflow) that demonstrate your passion for great design.,30+ days ago,false,https://www.indeed.com/viewjob?jk=d89c58b8fc2f563a&fccid=c659788ec6cc356e&vjs=3
